"N.Registro";"Tipo";"Categoría";"Especialidades";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Central Reservas";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"09/000294";"Hotel";"4ª - 4 Estrellas";"";"NH COLLECTION PALACIO DE BURGOS";"Calle C/ MERCED, Nº 13";"09002";"Burgos";"Burgos";"BURGOS";"BURGOS";"947479900";"";"";"nhcollectionpalaciodeburgos@nh-hotels.com";"www.nh-hotels.com";"";"";"209";"-3,703817";"42,338514";"Si";
"09/000295";"Hotel Residencia";"2ª - 2 Estrellas";"";"DOÑA SANCHA";"AVDA/VICTOR BARBADILLO, Nº 31";"09346";"Burgos";"Covarrubias";"COVARRUBIAS";"COVARRUBIAS";"947406400";"600786794";"";"reservas@hoteldonasancha.com";"www.hoteldonasancha.com";"";"";"27";"-3,5136111";"42,0594444";"";
"34/000144";"Hotel";"3ª - 3 Estrellas";"";"HOTEL AREA SUCO";"Carretera Ctra. NACIONAL,120.PK nº 54";"34250";"Palencia";"Quintana del Puente";"QUINTANA DEL PUENTE";"QUINTANA DEL PUENTE";"979792111";"979749044";"";"fernando@hotelessuco.com / reservas( ª )hotelessuco.com";"";"";"";"81";"-4,210015";"42,07774";"Si";
"24/000387";"Pensión";"Categoría única";"";"ALDA CENTRO LEON II";"Calle CALLE LA TORRE, 3 - 1º IZQ.";"24002";"León";"León";"LEON";"LEON";"987225594";"";"";"ALDACENTROLEON@ALDAHOTELS.COM";"";"";"";"13";"-5,57289";"42,600397";"";
"24/000388";"Pensión";"Categoría única";"";"EL HORNO";"Calle VICTOR DE LOS RIOS 21  1";"24006";"León";"León";"LEON";"LEON";"696189155";"";"";"info@pensionelhorno.com";"www.pensionelhorno.com";"";"";"13";"-5,5625";"42,5969444";"";
"49/000162";"Hostal Residencia";"2ª - 2 Estrellas";"";"CARMEN";"Carretera CARRETERA ILANES S/N";"49350";"Zamora";"Galende";"PUENTE (EL)";"PUENTE (EL)";"980621470";"";"";"";"";"";"";"14";"-6,643021";"42,08353";"";
"09/000296";"Hotel Residencia";"3ª - 3 Estrellas";"";"CUÉNTAME LA PUEBLA";"Calle La Puebla, 20";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"947250900";"";"";"info@hotelcuentamelapuebla.com";"www.hotelescuentame.com";"";"";"34";"-3,698176";"42,342146";"Si";
"24/000389";"Hotel";"4ª - 4 Estrellas";"";"AC PONFERRADA";"Avenida AVDA ASTORGA, 2";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987409973";"";"";"acponferrada@ac-hoteles.com";"www.ac-hoteles.com";"";"";"90";"-6,583054";"42,549381";"Si";
"42/000242";"Hostal Residencia";"2ª - 2 Estrellas";"";"TIRSO DE MOLINA";"Calle PALACIO 1";"42200";"Soria";"Almazán";"ALMAZAN";"ALMAZAN";"687295527";"";"";"padillap@hotmail.es";"";"";"";"9";"";"";"";
"34/000145";"Hotel";"2ª - 2 Estrellas";"";"MONTAÑA PALENTINA";"Avenida AVDA. DE ASTURIAS, Nº 152";"34880";"Palencia";"Guardo";"GUARDO";"GUARDO";"979851520";"";"";"";"www.hotelguardo.com";"";"";"22";"-4,849009";"42,802517";"";
"47/000201";"Hostal";"2ª - 2 Estrellas";"";"SAN ANTOLIN";"Calle SAN ANTOLIN 8";"47100";"Valladolid";"Tordesillas";"TORDESILLAS";"TORDESILLAS";"983796771";"691883600";"";"reservas@hostalsanantolin.com";"www.hostalsanantolin.es";"";"";"23";"";"";"";
"34/000146";"Hostal";"1ª - 1 Estrella";"";"RATON";"Calle C/ EXTRAMUROS, Nº 64";"34300";"Palencia";"Paredes de Nava";"PAREDES DE NAVA";"PAREDES DE NAVA";"979830852";"";"";"";"www.hostalraton@telefonica.net";"";"";"12";"-4,687822";"42,154846";"";
"42/000243";"Hotel";"3ª - 3 Estrellas";"";"RIVERA DEL DUERO";"Avenida VALLADOLID 131";"42330";"Soria";"San Esteban de Gormaz";"SAN ESTEBAN DE GORMAZ";"SAN ESTEBAN DE GORMAZ";"975350059";"";"";"info@hotelrivera.es";"www.hotelrivera.es";"";"";"52";"-3,2017";"41,572611";"Si";
"34/000147";"Hostal";"1ª - 1 Estrella";"";"AREÑOS";"Avenida AREÑOS 50";"34886";"Palencia";"Velilla del Río Carrión";"VELILLA DEL RIO CARRION";"VELILLA DEL RIO CARRION";"628792398";"";"";"";"";"";"";"15";"-4,849351";"42,829106";"Si";
"37/000299";"Hotel";"2ª - 2 Estrellas";"";"HOTEL VILLAMAYOR";"Calle Camino Alto a Villares 57";"37185";"Salamanca";"Villamayor";"VILLAMAYOR";"VILLAMAYOR";"691549334";"";"";"villamayorhotels@gmail.com";"www.villamayorhotels.com";"";"";"33";"";"";"";
"37/000300";"Hotel";"4ª - 4 Estrellas";"";"EUROSTARS LAS CLARAS";"C/ MARQUESA DE ALMARZA, S/N";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923128500";"";"";"direccion@eurostarslasclaras.com";"www.eurostarslasclaras.com";"";"";"135";"";"";"Si";
"34/000148";"Hotel";"4ª - 4 Estrellas";"";"AC HOTEL PALENCIA";"Avenida AVDA. DE CUBA, 25";"34004";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979165701";"";"";"acpalencia@ac-hotels.com";"www.ac-hotels.com";"";"";"111";"-4,520704";"42,013909";"";
"09/000297";"Hotel Residencia";"2ª - 2 Estrellas";"";"LA POSADA DE EUFRASIO";"Calle Vista Alegre 15";"09340";"Burgos";"Lerma";"LERMA";"LERMA";"947 170257";"";"";"";"www.posadadeeufrasio.com";"";"";"18";"";"";"";
"24/000391";"Hotel Residencia";"2ª - 2 Estrellas";"";"SAN MILLÁN PALACE";"Carretera CTRA. NAC. 630, KM 181";"24237";"León";"San Millán de los Caballeros";"SAN MILLAN DE LOS CABALLEROS";"SAN MILLAN DE LOS CABALLEROS";"987768146";"987768144";"";"hospederiasanmillan@hotmail.com";"";"";"";"7";"-5,578058";"42,289428";"Si";
"37/000301";"Hotel";"4ª - 4 Estrellas";"";"ABBA FONSECA";"Plaza SAN BLAS 2";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923011010";"";"";"fonseca@abbahoteles.com";"www.abbahoteles.com";"";"";"163";"-5,7697222";"40,9644444";"Si";
"05/000145";"Hostal";"2ª - 2 Estrellas";"";"EL MANANTIAL DE GREDOS";"Calle CARRETERA ARENAS DE SAN PEDRO, Nº 42";"05416";"Ávila";"Arenal (El)";"ARENAL (EL)";"ARENAL (EL)";"920 375066";"";"";"";"http://hostalrural-gredos.iespana.es";"";"";"21";"-5,08915";"40,263934";"Si";
"47/000204";"Hotel";"4ª - 4 Estrellas";"";"HOTEL VALLADOLID RECOLETOS";"Calle ACERA DE RECOLETOS, 13";"47004";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983216200";"";"";"recepcion@valladolidrecoletos.com";"www.valladolidrecoletos.com";"";"";"152";"";"";"Si";
"40/000149";"Hostal Residencia";"2ª - 2 Estrellas";"";"AVANTO";"Carretera  SEGOVIA-AREVALO, KM, 25,800";"40440";"Segovia";"Santa María la Real de Nieva";"SANTA MARIA LA REAL DE NIEVA";"SANTA MARIA LA REAL DE NIEVA";"921594223";"921594503";"";"";"";"";"";"24";"";"";"";
"24/000393";"Hostal";"1ª - 1 Estrella";"";"HOSTAL EL RUEDO II ESPAÑA";"Plaza MAYOR 1";"24320";"León";"Sahagún";"SAHAGUN";"SAHAGUN";"987781834";"633588394";"";"CHRIS@ADVANCEBDG.COM";"";"";"";"";"";"";"";
"37/000302";"Hotel";"4ª - 4 Estrellas";"";"HOTEL SALAMANCA MONTALVO";"Calle HOCES DEL DURATÓN 1";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923194040";"";"";"reservas@hotelsalamancamontalvo.com";"www.hotelsalamancamontalvo.com";"";"";"108";"-5,668127";"40,940358";"Si";
"05/000148";"Hotel";"2ª - 2 Estrellas";"";"EL CASTREJÓN";"Calle C/ LOS CAÑOS, Nº 10";"05260";"Ávila";"Cebreros";"CEBREROS";"CEBREROS";"918630044";"";"";"hotelcastrejon@elcastrejon.com";"www.elcastrejon.com";"";"";"51";"-4,46461";"40,453344";"Si";
"09/000299";"Hotel Residencia";"4ª - 4 Estrellas";"";"SPA TUDANCA ARANDA";"Carretera Madrid-Irún, N-1,  km. 153";"09471";"Burgos";"Fuentespina";"FUENTESPINA";"FUENTESPINA";"947506011";"";"";"reservasaranda@hotelestudanca.com";"www.tudanca-aranda.com";"";"";"71";"-3,6866667";"41,6236111";"Si";
"47/000205";"Hotel";"5ª - 5 Estrellas";"";"AC PALACIO DE SANTA ANA";"Camino  de la Flecha s/n";"47197";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983409920";"646";"";"reception.palaciosantaana@acmarriott.com";"www.hotelacpalaciodesantaana.com";"";"";"187";"-4,762239";"41,624482";"Si";
"09/000300";"Hotel Residencia";"2ª - 2 Estrellas";"";"HOTEL ALDA PUERTO SECO";"Calle VITORIA 286";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"947652816";"947652816";"";"puertoseco@aldahoteles.com";"www.aldapuertoseco.es";"";"";"30";"-3,663435";"42,354919";"Si";
"37/000303";"Hotel";"5ª - 5 Estrellas";"";"HOSPES PALACIO DE SAN ESTEBAN";"Calle ARROYO DE SANTO DOMINGO 3";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923262296";"";"";"af.palaciosanesteban@hospes.com";"https://www.hospes.com/";"";"";"97";"";"";"Si";
"37/000304";"Hostal";"1ª - 1 Estrella";"";"HOSTAL LA FUENTE";"Carretera ENCINAS-CANTALAPIEDRA 46";"37330";"Salamanca";"Babilafuente";"BABILAFUENTE";"BABILAFUENTE";"681681701";"";"";"hernandezperez1997sl@gmail.com";"";"";"";"18";"";"";"";
"24/000395";"Hostal";"2ª - 2 Estrellas";"";"PALAZUELO";"Avenida Avda. Mayorga-Astorga, km 30";"24680";"León";"Villamañán";"VILLAMAÑAN";"VILLAMAÑAN";"987768210";"";"";"";"";"";"";"67";"-5,571568";"42,313681";"";
"42/000245";"Hotel";"2ª - 2 Estrellas";"";"LA POSADA DE NUMANCIA";"Calle RAMON BENITO ACEÑA 34";"42162";"Soria";"Garray";"GARRAY";"GARRAY";"692092996";"";"";"shirleydiaz011@gmail.com";"www.laposadadenumancia.es";"";"";"22";"";"";"";
"37/000305";"Hostal";"2ª - 2 Estrellas";"";"LA CARBONERIA";"Calle C/ VICTOR GORZO 1";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"679236932";"";"";"";"";"";"";"12";"";"";"";
"42/000246";"Hotel Residencia";"2ª - 2 Estrellas";"";"LA HOSTERIA DE CASTROVIEJO";"Calle LA PEÑA 12";"42158";"Soria";"Duruelo de la Sierra";"DURUELO DE LA SIERRA";"DURUELO DE LA SIERRA";"975371424";"975371318";"";"hosteleria@castroviejo.net";"www.castroviejo.net";"";"";"19";"";"";"";
"42/000247";"Pensión";"Categoría única";"";"EL GALLO";"Calle MAYOR 91";"42110";"Soria";"Ólvega";"OLVEGA";"OLVEGA";"876045478";"6011174589";"";"juanfe79@hotmail.com";"";"";"";"14";"";"";"";
"37/000306";"Hostal Residencia";"1ª - 1 Estrella";"";"MONTEMAYOR";"Calle MODESTO BLAZQUEZ,12";"37727";"Salamanca";"Montemayor del Río";"MONTEMAYOR DEL RIO";"MONTEMAYOR DEL RIO";"923431082";"923268972";"";"";"";"";"";"9";"";"";"";
"09/000301";"Hotel Residencia";"2ª - 2 Estrellas";"";"ALISI";"Avenida CASTILLA 25";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947048058";"629519441";"";"csirga@futurnet.es";"www.hotel-alisi.com";"";"";"59";"";"";"Si";
"37/000307";"Hotel";"4ª - 4 Estrellas";"";"SALAMANCA FORUM RESORT - HOTEL DOÑA BRIGIDA";"Urbanización URBANIZACION VEGA DE SALAMANCA, S/N";"37185";"Salamanca";"Villamayor";"VILLAMAYOR";"VILLAMAYOR";"923337020";"902197847";"";"reservas.hoteldb@grupomrs.com";"www.salamancaforum.com";"";"";"436";"-5,711617";"40,983292";"Si";
"34/000151";"Pensión";"Categoría única";"";"LA PLAYA";"Calle  EXTRAMUROS s/n";"34208";"Palencia";"Reinoso de Cerrato";"REINOSO DE CERRATO";"REINOSO DE CERRATO";"979784263";"615141901";"";"luisreinoso_18@hotmail.com";"";"";"";"45";"";"";"";
"49/000163";"Pensión";"Categoría única";"";"OASIS";"Calle CHURRUCA 62";"49022";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980524205";"";"";"hostal@oasiszamora.com";"";"";"";"14";"-5,728864";"41,514583";"";
"37/000309";"Hotel";"4ª - 4 Estrellas";"";"CIUDAD DE SALAMANCA";"Avenida AVD DE LA SALLE, 16-20";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923190616";"923190636";"";"ciudaddesalamanca@vinccihoteles.com";"www.vinccihoteles.com";"";"";"159";"-5,67844";"40,955269";"Si";
"09/000302";"Pensión";"Categoría única";"";"LAS MATILLAS";"Calle Santa Teresa, 18  1 A-B";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"667535030";"";"";"lasmatillaspension@gmail.com";"www.pensionlasmatillas.com";"";"";"16";"-2,951673";"42,69057";"Si";
"47/000206";"Hotel";"4ª - 4 Estrellas";"";"EL JARDÍN DE LA ABADÍA";"Calle  SAN JOSÉ, 3-5";"47195";"Valladolid";"Arroyo de la Encomienda";"ARROYO DE LA ENCOMIENDA";"ARROYO DE LA ENCOMIENDA";"983409916";"983 409917";"";"hotel@jardindelaabadia.com";"www.jardindelaabadia.com";"";"";"36";"";"";"Si";
"37/000310";"Hotel";"4ª - 4 Estrellas";"";"HOTEL BARDO RECOLETOS COCO";"Avenida AGUSTINOS RECOLETOS 44";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923226500";"";"";"reservas@hotelbardorecoletos.es";"www.hotelrecoletos.es";"";"";"154";"-5,663437";"40,981767";"Si";
"24/000396";"Hostal Residencia";"1ª - 1 Estrella";"";"RIVERO";"Calle MAYOR, 12";"24325";"León";"Bercianos del Real Camino";"BERCIANOS DEL REAL CAMINO";"BERCIANOS DEL REAL CAMINO";"987784287";"";"";"";"";"";"";"16";"-5,142366";"42,388133";"Si";
"37/000312";"Hotel";"4ª - 4 Estrellas";"";"PUENTE ROMANO DE SALAMANCA";"PLAZA CHICA, Nº 10";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923193736";"923190982";"";"info@hotelpuenteromanodesalamanca.com";"www.hotelpuenteromanodesalamanca.com";"";"";"70";"-5,672694";"40,955547";"Si";
"24/000397";"Hostal Residencia";"1ª - 1 Estrella";"";"LA PICOTA";"Carretera BOÑAR-PUERTO DE TARNA 35";"24857";"León";"Puebla de Lillo";"COFIÑAL";"COFIÑAL";"655989502";"";"";"lapicota@hotmail.com";"www.casalapicota.com";"";"";"14";"-5,269239";"43,032105";"Si";
"09/000303";"Hotel";"4ª - 4 Estrellas";"";"ABBA BURGOS";"Calle Fernán González 72";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947001100";"647329676";"";"abba-burgos@abbahoteles.com";"www.abbaburgoshotel.com";"";"";"177";"-3,7083333";"42,3405556";"Si";
"24/000399";"Hotel";"3ª - 3 Estrellas";"";"EL CASTILLO";"Avenida AVDA DEL CASTILLO 115";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987456227";"";"";"elcastillo@picos.com";"www.hotel-elcastillo.com";"";"";"90";"";"";"Si";
"37/000313";"Hostal";"2ª - 2 Estrellas";"";"KOMO";"CTRA. NACIONAL 501, KM. 67";"37329";"Salamanca";"Ventosa del Río Almar";"VENTOSA DEL RIO ALMAR";"";"923564045";"";"";"";"";"";"";"15";"";"";"";
"42/000248";"Hotel";"3ª - 3 Estrellas";"";"CADOSA";"Carretera CTRA. N-122, KM. 148";"42005";"Soria";"Soria";"SORIA";"SORIA";"975213143";"975213143";"";"javier.vazquez@ngshoteles.com";"www.hotelcadosa.es";"";"";"97";"-2,404372";"41,762432";"";
"05/000146";"Hotel";"2ª - 2 Estrellas";"";"EL PENTÁGONO";"Calle Carretera S/N";"05540";"Ávila";"Muñana";"MUÑANA";"MUÑANA";"605892360";"";"";"hotelciudaddeavila@gmail.com";"";"";"";"30";"-5,01467";"40,58804";"Si";
"24/000401";"Hotel";"3ª - 3 Estrellas";"";"HOTEL CAMINO REAL";"Avenida MADRID 39";"24228";"León";"Valdefresno";"VALDEFRESNO";"VALDEFRESNO";"987870993";"";"";"izquierdo@imcapital.es";"";"";"";"";"";"";"Si";
"24/000400";"Hostal";"2ª - 2 Estrellas";"";"HOSPEDERIA FERNANDO I";"Avenida AVDA LOS CUBOS, 32";"24007";"León";"León";"LEON";"LEON";"987220601";"";"";"";"";"";"";"33";"";"";"";
"05/000150";"Hotel";"4ª - 4 Estrellas";"";"PUERTA DE GREDOS";"Carretera FINCA ""EL LAVADERO"", CTRA. DE LOS  LLANOS, S/N";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"BARCO DE AVILA (EL)";"920 345171";"";"";"puertadegredos@izanhoteles.es";"rcameo@izanhoteles.es";"";"";"95";"-5,520655";"40,339672";"Si";
"24/000402";"Hotel";"3ª - 3 Estrellas";"";"AROI BIERZO PLAZA";"Calle PLAZA DEL AYUNTAMIENTO, 4-5";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987409001";"987409244";"";"administracion@aroihoteles.com";"www.aroihoteles.com";"";"";"58";"-6,590839";"42,545942";"Si";
"37/000315";"Hotel";"3ª - 3 Estrellas";"";"TORRE DEL CLAVERO";"CONSUELO,21";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923280410";"";"";"info@hoteltorredelclavero.com";"www.hoteltorredelclavero.com";"";"";"48";"";"";"Si";
"40/000153";"Pensión";"Categoría única";"";"HOSPEDERIA D. LUIS";"PZA. DEL MERCADO, 23";"40355";"Segovia";"Fuentesaúco de Fuentidueña";"FUENTESAUCO DE FUENTIDUEÑA";"FUENTESAUCO DE FUENTIDUEÑA";"921169616";"917112248";"";"";"";"";"";"15";"";"";"";
"37/000317";"Hostal";"1ª - 1 Estrella";"";"POSADA DE BLETO";"PLAZA FORTALEZA,19";"37100";"Salamanca";"Ledesma";"LEDESMA";"LEDESMA";"923570584";"";"";"";"www.posadadebleto.es";"";"";"8";"";"";"";
"09/000305";"Hostal Residencia";"1ª - 1 Estrella";"";"LAS TINAJAS";"Calle C/ ACUARIO, 5";"09195";"Burgos";"Villagonzalo Pedernales";"VILLAGONZALO PEDERNALES";"VILLAGONZALO PEDERNALES";"669470527";"669470525";"";"promocionesteresa@hotmail.com";"www.hostalastinajas.com";"";"";"17";"-3,736882";"42,30135";"";
"24/000403";"Hostal Residencia";"2ª - 2 Estrellas";"";"BURBIA";"Fuente Cubero, nº 13";"24500";"León";"Villafranca del Bierzo";"VILLAFRANCA DEL BIERZO";"VILLAFRANCA DEL BIERZO";"987542667";"664209596";"";"reservas@hostalburbia.com";"www.hostalburbia.com";"";"";"9";"-6,808583";"42,610602";"";
"24/000404";"Hostal Residencia";"2ª - 2 Estrellas";"";"EVAGAR";"Calle Baldomero Lozano, nº 1";"24007";"León";"León";"LEON";"LEON";"987084554";"649490919";"";"";"";"";"";"25";"";"";"";
"09/000306";"Pensión";"Categoría única";"";"TOÑI";"Calle REDECILLA DEL CAMPO, 7  1º B";"09250";"Burgos";"Belorado";"BELORADO";"BELORADO";"616010808";"";"";"informacion@pensiontoni.com";"www.pensiontoni.com";"";"";"10";"";"";"Si";
"05/000151";"Hostal";"2ª - 2 Estrellas";"";"EL RINCON";"Plaza PLAZA DE ZURRAQUIN, 3-4-5";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920351044";"920213152";"";"elrincon@plaza-zurraquin.com";"www.plaza-zurraquin.com";"";"";"30";"-4,699701";"40,656722";"";
"09/000304";"Hotel";"2ª - 2 Estrellas";"";"AREA ESTEPAR";"Carretera CTRA. NAC. 620, KM. 20";"09230";"Burgos";"Estépar";"ESTEPAR";"ESTEPAR";"636199804";"616345495";"";"esteparlaparada@gmail.com";"";"";"";"22";"-3,890898";"42,278497";"";
"37/000319";"Hotel Residencia";"2ª - 2 Estrellas";"";"IBIS SALAMANCA CENTRO";"Calle LA MARINA 15-19";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923272380";"650457419";"";"H3672@accor.com";"www.ibishotel.com";"";"";"118";"-5,6576806";"40,9640861";"Si";
"47/000211";"Hostal Residencia";"2ª - 2 Estrellas";"";"DON ALONSO";"C/ GAMAZO, 7";"47410";"Valladolid";"Olmedo";"OLMEDO";"OLMEDO";"620597108";"";"";"";"";"";"";"23";"-4,6858833";"41,2879472";"";
"37/000320";"Hotel";"4ª - 4 Estrellas";"";"CATALONIA PLAZA MAYOR SALAMANCA";"Calle ESPOZ Y MINA, 23-25";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923281717";"923281243";"";"salamancaplaza@hoteles-catalonia.es";"www.hoteles-catalonia.es";"";"";"130";"";"";"Si";
"37/000321";"Hostal Residencia";"2ª - 2 Estrellas";"";"HOSTERIA CASA VALLEJO";"SAN JUAN DE LA CRUZ, Nº 3";"37001";"Salamanca";"Salamanca";"SALAMANCA";"";"923280421";"";"";"info@hosteriacasavallejo.com";"www.hosteriacasavallejo.com";"";"";"21";"";"";"Si";
"37/000322";"Hotel";"4ª - 4 Estrellas";"";"RUA";"Calle SANCHEZ BARBERO 11";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923272272";"";"";"reservas@hotelrua.com";"www.hotelrua.com";"";"";"38";"-5,664503";"40,963772";"Si";
"24/000406";"Hotel";"4ª - 4 Estrellas";"1#Familiar#|";"ZENTRAL LEON CAMINO";"Calle OBISPO VILAPLANA 3";"24008";"León";"León";"LEON";"LEON";"658169741";"";"";"";"";"";"";"241";"";"";"";
"49/000164";"Hotel";"4ª - 4 Estrellas";"";"AC ZAMORA";"Avenida PRÍNCIPE DE ASTURIAS 43";"49029";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980557940";"";"";"reception.zamora@achmhotels.com";"https://www.marriott.com/es/hotels/slmza-ac-hotel-zamora/overview/";"";"";"120";"-5,737016";"41,511732";"Si";
"40/000156";"Hostal";"1ª - 1 Estrella";"";"JARPAR";"PLAZA DE LA CONSTITUCION, 1";"40569";"Segovia";"Grajera";"GRAJERA";"";"921557713";"";"";"";"";"";"";"11";"";"";"";
"40/000155";"Residencia Apartamento";"2ª - 2 Estrellas";"";"ARALSO";"AVDA. GRAN CANARIA, 20";"40160";"Segovia";"Lastrilla (La)";"LASTRILLA (LA)";"LASTRILLA (LA)";"921428795";"649804220";"";"INFO@APARTAMETOSARALSO.COM";"WWW.APARTAMENTOSARALSO.COM";"";"";"20";"-4,095033";"40,961437";"";
"40/000157";"Hotel Residencia";"4ª - 4 Estrellas";"";"EL RANCHO";"Plaza DEL MEDIODIA 1";"40160";"Segovia";"Torrecaballeros";"TORRECABALLEROS";"TORRECABALLEROS";"921401060";"648781028";"";"hotel@fincaelrancho.com";"www.fincaelrancho.com";"";"";"95";"";"";"";
"37/000323";"Hostal Residencia";"2ª - 2 Estrellas";"";"PALACIO ANTIGUA AUDIENCIA";"Plaza MAYOR 17";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923481093";"";"";"info@audienciareal.com";"www.audienciareal.com";"";"";"12";"";"";"";
"05/000152";"Hostal Residencia";"2ª - 2 Estrellas";"";"LUNAPOSADA";"C/ DOMINGO LABAJOS, 34";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"920382265";"";"";"clientes@lunacandela.com";"www.lunacandeleda.com";"";"";"9";"";"";"";
"24/000407";"Pensión";"Categoría única";"";"EL TESIN";"Calle REAL S/N";"24722";"León";"Santa Colomba de Somoza";"RABANAL DEL CAMINO";"RABANAL DEL CAMINO";"652277268";"";"";"";"";"";"";"6";"-6,280782";"42,481301";"";
"47/000213";"Motel";"1ª - 1 Estrella";"";"LA SIESTA";"CTRA. VELLIZA-VILLAMARCIEL KM. 0,300";"47132";"Valladolid";"Tordesillas";"VILLAMARCIEL";"VILLAMARCIEL";"983812515";"666059866";"";"";"";"";"";"57";"-4,896761";"41,542315";"Si";
"24/000408";"Hostal Residencia";"1ª - 1 Estrella";"";"HOSPEDERIA PRADA BORGES";"AVDA. DE ROMA, 18 - 3º";"24001";"León";"León";"LEON";"LEON";"987226444";"987276311";"";"";"www.hospederiaprada-borges.com";"";"";"19";"";"";"";
"42/000250";"Hostal";"2ª - 2 Estrellas";"";"CASTILLA";"MAYOR, 26";"42127";"Soria";"Serón de Nágima";"SERON DE NAGIMA";"SERON DE NAGIMA";"975307034";"691032192";"";"info@hostalruralcastilla.com";"www.hostalruralcastilla.com";"";"";"10";"";"";"";
"09/000308";"Hostal";"1ª - 1 Estrella";"";"MAYALE";"Avenida AVDA. INFANTES DE LARA, 19";"09600";"Burgos";"Salas de los Infantes";"SALAS DE LOS INFANTES";"SALAS DE LOS INFANTES";"947380762";"";"";"";"";"";"";"10";"-3,286884";"42,022267";"";
"09/000309";"Hotel";"3ª - 3 Estrellas";"";"VADORREY";"Calle LAS CRUCES 21";"09300";"Burgos";"Roa";"ROA";"ROA";"947541832";"";"";"";"";"";"";"38";"";"";"";
"40/000160";"Hotel";"3ª - 3 Estrellas";"";"PUERTA SEPULVEDA";"Calle  ALFONSO VI 35";"40300";"Segovia";"Sepúlveda";"SEPULVEDA";"SEPULVEDA";"921540365";"";"";"info@hotelpuertasepulveda.net";"www.hotelpuertasepulveda.net";"";"";"19";"";"";"";
"34/000154";"Hostal Residencia";"1ª - 1 Estrella";"";"LA RIBERA";"Calle C/EXTRAMUROS, S/N";"34100";"Palencia";"Saldaña";"SALDAÑA";"SALDAÑA";"979890736";"";"";"";"";"";"";"8";"-4,75266";"42,519567";"";
"49/000166";"Hotel";"4ª - 4 Estrellas";"";"VILLA DE BENAVENTE";"Avenida LAS AMERICAS";"49600";"Zamora";"Benavente";"BENAVENTE";"BENAVENTE";"980635094";"";"";"info@hotelvilladebenavente.com";"www.hotelvilladebenavente.com";"";"";"100";"-5,661011";"42,001831";"";
"24/000409";"Pensión";"Categoría única";"";"BLANCA B&B";"Calle VILLAFRANCA 2  2 A";"24001";"León";"León";"LEON";"LEON";"987251991";"";"";"";"";"";"";"12";"";"";"Si";
"42/000251";"Hostal Residencia";"1ª - 1 Estrella";"";"CENTRO";"PLZA. MARIANO GRANADOS, 2";"42001";"Soria";"Soria";"SORIA";"";"975226122";"975226122";"";"santabarbara@soriadormir.com";"www.soriadormir.com";"";"";"7";"";"";"";
"24/000411";"Hotel";"2ª - 2 Estrellas";"";"LA HACIENDA";"Autovia AUTOVIA A-6, SALIDA 303";"24750";"León";"Bañeza (La)";"BAÑEZA (LA)";"BAÑEZA (LA)";"987656250";"";"";"lahacienda303@terra.es";"w.w.w.lahacienda303.com";"";"";"26";"-5,914112";"42,287504";"Si";
